TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT
activities,id,int,NO,PRI,NULL
activities,workspace_id,int,YES,MUL,NULL
activities,user_id,int,YES,,NULL
activities,action,varchar,NO,,NULL
activities,object_type,varchar,YES,,NULL
activities,object_id,int,YES,,NULL
activities,details,json,YES,,NULL
activities,created_at,timestamp,YES,,CURRENT_TIMESTAMP
activity_logs,id,int,NO,PRI,NULL
activity_logs,workspace_id,int,YES,MUL,NULL
activity_logs,user_id,int,YES,MUL,NULL
activity_logs,action,varchar,YES,,NULL
activity_logs,details,text,YES,,NULL
activity_logs,created_at,timestamp,YES,,CURRENT_TIMESTAMP
attachments,id,int,NO,PRI,NULL
attachments,file_name,varchar,YES,,NULL
attachments,file_path,varchar,YES,,NULL
attachments,file_type,varchar,YES,,NULL
attachments,uploaded_by,int,YES,MUL,NULL
attachments,task_id,int,YES,MUL,NULL
attachments,note_id,int,YES,MUL,NULL
attachments,uploaded_at,timestamp,YES,,CURRENT_TIMESTAMP
cache,key_name,varchar,NO,PRI,NULL
cache,value,text,YES,,NULL
cache,expires_at,timestamp,YES,,NULL
collaborative_sessions,id,int,NO,PRI,NULL
collaborative_sessions,item_type,enum,NO,MUL,NULL
collaborative_sessions,item_id,int,NO,,NULL
collaborative_sessions,user_id,int,NO,MUL,NULL
collaborative_sessions,session_data,json,YES,,NULL
collaborative_sessions,cursor_position,json,YES,,NULL
collaborative_sessions,is_active,tinyint,YES,,1
collaborative_sessions,created_at,timestamp,YES,,CURRENT_TIMESTAMP
collaborative_sessions,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
comment_reactions,id,int,NO,PRI,NULL
comment_reactions,comment_id,int,NO,MUL,NULL
comment_reactions,user_id,int,NO,MUL,NULL
comment_reactions,emoji,varchar,NO,,NULL
comment_reactions,created_at,timestamp,YES,,CURRENT_TIMESTAMP
comments,id,int,NO,PRI,NULL
comments,content,text,NO,,NULL
comments,commentable_type,enum,NO,MUL,NULL
comments,commentable_id,int,NO,,NULL
